file,coluymn,values
07_generate_nhse_eng_inpat.R,disreadydate,"date between 2008-1-1 and 2034-12-31, but include 1 outlier date in 1800-01-01"
07_generate_nhse_eng_inpat.R,elecdate,"date between 1997-1-1 and 2029-12-31, but include 1 outlier date in 1900-01-01"
07_generate_nhse_eng_inpat.R,elecdur,number between 0 - 10k mean is 83 ( anything above 300 is outlier/rare skew)
07_generate_nhse_eng_inpat.R,epidur,"""Null = Not applicable (other maternity event / not know)"" [0 people have this]"
07_generate_nhse_eng_inpat.R,epikey,random numbers 11-19 digits long
07_generate_nhse_eng_inpat.R,epiorder,"numebrs 1 to 15 and only 5 individuals with etiher ""98 = Not applicable"" or ""99 = Not know: a validation error"""
07_generate_nhse_eng_inpat.R,epiend,date between 1997-1-1 and 2026-12-31
07_generate_nhse_eng_inpat.R,epitype,"""1 = General episode (anything that is not covered by the other codes)""*, ""2 = Delivery episode"", ""3 = Birth episode"", ""4 = Formally detained under the provisions of mental health legislation or long-term (over one year) psychiatric patients who should have additional information recorded on the psychiatric consensus (until 2016-17)"", ""5 = Other delivery event"", ""6 = Other birth event"""
07_generate_nhse_eng_inpat.R,firstreg,"""0 = First in a series"", ""9 = Not known: this episode is an attendance within a sequence of regular day/night admissions but the status of this epidsode within the attendance is not known: a valIdation error (valid between 2002-03 and 2007-08)"", ""8 = Not applicable: this episode is neither first not any subsequent attendance within a sequence of day/night admissions (valid between 2002-03 and 2007-08)"", ""1 = Subsequent to first in a series"", ""2 = Invalid"", ""3 = Invalid"""
07_generate_nhse_eng_inpat.R,imd04_decile,"""Least deprived 10%"", ""More deprived 30-40%"", ""Most deprived ""40-50%"", ""LESS DEPRIVED 10-20%"", ""Less deprived 10-20%"""
07_generate_nhse_eng_inpat.R,intmanig,"""1 = Patient to stay in hospital for at least one night"", ""2 = Patient not to stay in hospital overnight"", ""3 = Patient to have a planned series of admissions at least one overnight stay"", ""4 = Patient to have a planned series of admissions no overnight stay"", ""5 = Patient to be admitted regularly for a sequence of nights rest of the 24 hour period at home"", ""8 = Not applicable"", ""9 = Intended Management not known"""
07_generate_nhse_eng_inpat.R,mainspef,refer to mainspef_possible_values (960 is most common value ~ 15%)
